# C_CrxOy	e_real	e_imag	R	alpha	1/alpha
#				nm-1	nm
0.28	7.6514040220497	10.665958844887	0.373314	0.020265	49.3461633358006
0.281	7.6462302561299	10.632465689982	0.372759	0.0202186	49.45940866331
0.282	7.6409903839269	10.59911755995	0.372205	0.0201723	49.5729292148144
0.283	7.6356853540914	10.565913855474	0.371653	0.0201263	49.6862314484033
0.284	7.6303161047623	10.532853977079	0.371101	0.0200805	49.7995567839446
0.285	7.6248835636689	10.4999373252	0.37055	0.0200349	49.9129019860344
0.286	7.6193886482322	10.467163300252	0.37	0.0199894	50.0265140524478
0.287	7.6138322656654	10.434531302694	0.369451	0.0199442	50.13989029392
0.288	7.6082153130739	10.402040733094	0.368904	0.0198992	50.2532765136287
0.289	7.6025386775543	10.369690992187	0.368357	0.0198543	50.3669230343049
0.29	7.5968032362936	10.337481480942	0.367811	0.0198096	50.4805750747113
0.291	7.5910098566663	10.305411600618	0.367267	0.0197651	50.5942292222149
0.292	7.5851593963317	10.273480752823	0.366723	0.0197208	50.7078820331832
0.293	7.5792527033309	10.24168833957	0.36618	0.0196767	50.8215300329832
0.294	7.573290616182	10.210033763333	0.365639	0.0196328	50.9351697159855
0.295	7.5672739639751	10.1785164271	0.365098	0.0195891	51.0487975455738
0.296	7.5612035664671	10.147135734427	0.364558	0.0195455	51.1626717147169
0.297	7.5550802341749	10.115891089489	0.364019	0.0195021	51.2765291942919
0.298	7.5489047684685	10.084781897129	0.363482	0.0194589	51.3903663619218
0.299	7.5426779616633	10.053807562908	0.362945	0.0194159	51.5041795641716
0.3	7.5364005971113	10.022967493151	0.362409	0.0193731	51.6179651165792
0.301	7.530073449292	9.9922610949961	0.361874	0.0193304	51.7319869221537
0.302	7.5236972839028	9.9616877764358	0.361341	0.0192879	51.8459759745747
0.303	7.5172728579476	9.9312469463649	0.360808	0.0192456	51.9599285031384
0.304	7.5108009198262	9.900938014621	0.360276	0.0192035	52.0738407061213
0.305	7.5042822094219	9.870760392027	0.359745	0.0191616	52.187708750835
0.306	7.4977174581886	9.8407134904317	0.359215	0.0191198	52.301802320108
0.307	7.4911073892373	9.8107967227493	0.358686	0.0190782	52.4158463586712
0.308	7.4844527174221	9.7810095029979	0.358158	0.0190368	52.5298369473861
0.309	7.4777541494252	9.7513512463369	0.357631	0.0189955	52.6440472743545
0.31	7.4710123838411	9.7218213691038	0.357105	0.0189544	52.7581986240662
0.311	7.4642281112602	9.6924192888494	0.35658	0.0189135	52.8722869907738
0.312	7.4574020143522	9.6631444243721	0.356056	0.0188728	52.9863083379255
0.313	7.4505347679478	9.6339961957519	0.355533	0.0188322	53.1005405635029
0.314	7.4436270391203	9.6049740243824	0.35501	0.0187918	53.2147000287359
0.315	7.4366794872669	9.576077333003	0.354489	0.0187515	53.3290670079727
0.316	7.4296927641882	9.5473055457292	0.353969	0.0187115	53.4430697699276
0.317	7.4226675141681	9.5186580880828	0.353449	0.0186715	53.5575609886726
0.318	7.4156043740521	9.4901343870205	0.352931	0.0186318	53.6716796015414
0.319	7.4085039733257	9.4617338709623	0.352413	0.0185922	53.7859962780091
0.32	7.4013669341916	9.4334559698188	0.351897	0.0185528	53.9002199128972
0.321	7.3941938716464	9.4053001150174	0.351381	0.0185135	54.014637966889
0.322	7.3869853935564	9.3772657395282	0.350866	0.0184744	54.128956826744
0.323	7.379742100733	9.3493522778888	0.350353	0.0184355	54.2431721407068
0.324	7.3724645870073	9.3215591662281	0.34984	0.0183967	54.3575749998641
0.325	7.3651534393041	9.2938858422903	0.349328	0.0183581	54.4718680037695
0.326	7.3578092377149	9.2663317454568	0.348817	0.0183196	54.5863446800149
0.327	7.3504325555709	9.2388963167683	0.348307	0.0182813	54.7007050920886
0.328	7.3430239595142	9.2115789989459	0.347797	0.0182432	54.8149447465357
0.329	7.3355840095699	9.1843792364117	0.347289	0.0182052	54.9293608419572
0.33	7.3281132592159	9.1572964753085	0.346782	0.0181674	55.043649614144
0.331	7.3206122554535	9.1303301635186	0.346275	0.0181297	55.1581107243915
0.332	7.3130815388761	9.1034797506824	0.34577	0.0180922	55.2724378461436
0.333	7.305521643738	9.0767446882165	0.345265	0.0180548	55.3869331147396
0.334	7.2979330980226	9.0501244293301	0.344761	0.0180176	55.501287629873
0.335	7.2903164235093	9.0236184290423	0.344259	0.0179805	55.6158060120686
0.336	7.2826721358407	8.9972261441973	0.343757	0.0179436	55.7301767761207
0.337	7.2750007445881	8.9709470334804	0.343256	0.0179068	55.8447070386669
0.338	7.2673027533171	8.9447805574322	0.342755	0.0178702	55.9590827187161
0.339	7.2595786596527	8.918726178463	0.342256	0.0178337	56.0736134397237
0.34	7.2518289553431	8.8927833608664	0.341758	0.0177974	56.1879825142998
